order_id,product_id,quantity,price_per_unit,,,,,,,,,,,,,,,,,,,,,,
1,1,3,15000,,,,,,,,,,,,,,,,,,,,,,
2,3,2,8000,,,,,,,,,,,,,,,,,,,,,,
3,2,1,60000,,,,,,,,,,,,,,,,,,,,,,
3,7,2,40000,,,,,,,,,,,,,,,,,,,,,,
3,7,3,40000,,,,,,,,,,,,,,,,,,,,,,
4,4,1,12000,,,,,,,,,,,,,,,,,,,,,,
4,1,1,15000,,,,,,,,,,,,,,,,,,,,,,
5,5,1,5000,,,,,,,,,,,,,,,,,,,,,,
5,4,3,12000,,,,,,,,,,,,,,,,,,,,,,
5,2,3,60000,,,,,,,,,,,,,,,,,,,,,,
6,7,1,40000,,,,,,,,,,,,,,,,,,,,,,
6,7,2,40000,,,,,,,,,,,,,,,,,,,,,,
7,1,2,15000,,,,,,,,,,,,,,,,,,,,,,
8,7,1,40000,,,,,,,,,,,,,,,,,,,,,,
8,4,1,12000,,,,,,,,,,,,,,,,,,,,,,
8,8,1,3000,,,,,,,,,,,,,,,,,,,,,,
8,8,3,3000,,,,,,,,,,,,,,,,,,,,,,
9,1,2,15000,,,,,,,,,,,,,,,,,,,,,,
9,3,2,8000,,,,,,,,,,,,,,,,,,,,,,
9,3,3,8000,,,,,,,,,,,,,,,,,,,,,,
9,2,3,60000,,,,,,,,,,,,,,,,,,,,,,
10,4,3,12000,,,,,,,,,,,,,,,,,,,,,,
10,4,1,12000,,,,,,,,,,,,,,,,,,,,,,
10,5,1,5000,,,,,,,,,,,,,,,,,,,,,,
11,8,3,3000,,,,,,,,,,,,,,,,,,,,,,
11,1,3,15000,,,,,,,,,,,,,,,,,,,,,,
11,5,3,5000,,,,,,,,,,,,,,,,,,,,,,
11,2,1,60000,,,,,,,,,,,,,,,,,,,,,,
12,8,3,3000,,,,,,,,,,,,,,,,,,,,,,
12,8,2,3000,,,,,,,,,,,,,,,,,,,,,,
13,1,2,15000,,,,,,,,,,,,,,,,,,,,,,
13,8,1,3000,,,,,,,,,,,,,,,,,,,,,,
13,7,3,40000,,,,,,,,,,,,,,,,,,,,,,
13,5,1,5000,,,,,,,,,,,,,,,,,,,,,,
14,4,1,12000,,,,,,,,,,,,,,,,,,,,,,
14,2,1,60000,,,,,,,,,,,,,,,,,,,,,,
15,6,3,7000,,,,,,,,,,,,,,,,,,,,,,
16,7,3,40000,,,,,,,,,,,,,,,,,,,,,,
16,7,2,40000,,,,,,,,,,,,,,,,,,,,,,
16,2,1,60000,,,,,,,,,,,,,,,,,,,,,,
16,7,2,40000,,,,,,,,,,,,,,,,,,,,,,
17,8,2,3000,,,,,,,,,,,,,,,,,,,,,,
17,1,2,15000,,,,,,,,,,,,,,,,,,,,,,
18,4,1,12000,,,,,,,,,,,,,,,,,,,,,,
18,1,2,15000,,,,,,,,,,,,,,,,,,,,,,
18,2,2,60000,,,,,,,,,,,,,,,,,,,,,,
18,2,2,60000,,,,,,,,,,,,,,,,,,,,,,
