order_id,order_date,customer_id,total_amount,,,,,,,,,,,,,,,,,,,,,,
1,2023-09-27,67,45000,,,,,,,,,,,,,,,,,,,,,,
2,2023-11-19,98,16000,,,,,,,,,,,,,,,,,,,,,,
3,2023-12-20,46,260000,,,,,,,,,,,,,,,,,,,,,,
4,2023-04-29,83,27000,,,,,,,,,,,,,,,,,,,,,,
5,2023-04-05,99,221000,,,,,,,,,,,,,,,,,,,,,,
6,2023-05-29,59,120000,,,,,,,,,,,,,,,,,,,,,,
7,2023-04-26,68,30000,,,,,,,,,,,,,,,,,,,,,,
8,2023-08-06,24,64000,,,,,,,,,,,,,,,,,,,,,,
9,2023-12-17,61,250000,,,,,,,,,,,,,,,,,,,,,,
10,2023-10-04,38,53000,,,,,,,,,,,,,,,,,,,,,,
11,2023-10-16,95,129000,,,,,,,,,,,,,,,,,,,,,,
12,2023-07-30,78,15000,,,,,,,,,,,,,,,,,,,,,,
13,2023-12-15,24,158000,,,,,,,,,,,,,,,,,,,,,,
14,2023-04-07,17,72000,,,,,,,,,,,,,,,,,,,,,,
15,2023-05-09,58,21000,,,,,,,,,,,,,,,,,,,,,,
16,2023-09-27,36,340000,,,,,,,,,,,,,,,,,,,,,,
17,2023-07-31,68,36000,,,,,,,,,,,,,,,,,,,,,,
18,2023-09-07,78,282000,,,,,,,,,,,,,,,,,,,,,,
19,2023-05-18,22,128000,,,,,,,,,,,,,,,,,,,,,,
20,2023-06-15,61,23000,,,,,,,,,,,,,,,,,,,,,,
21,2023-04-12,28,18000,,,,,,,,,,,,,,,,,,,,,,
22,2023-08-27,39,37000,,,,,,,,,,,,,,,,,,,,,,
23,2023-05-24,48,12000,,,,,,,,,,,,,,,,,,,,,,
24,2023-05-12,83,91000,,,,,,,,,,,,,,,,,,,,,,
25,2023-05-21,86,51000,,,,,,,,,,,,,,,,,,,,,,
26,2023-05-01,23,24000,,,,,,,,,,,,,,,,,,,,,,
27,2023-10-25,84,66000,,,,,,,,,,,,,,,,,,,,,,
28,2024-02-18,52,9000,,,,,,,,,,,,,,,,,,,,,,
29,2023-11-04,11,15000,,,,,,,,,,,,,,,,,,,,,,
30,2023-09-10,9,12000,,,,,,,,,,,,,,,,,,,,,,
31,2023-08-13,49,85000,,,,,,,,,,,,,,,,,,,,,,
32,2023-07-19,95,135000,,,,,,,,,,,,,,,,,,,,,,
33,2023-11-10,7,12000,,,,,,,,,,,,,,,,,,,,,,
34,2023-10-27,57,40000,,,,,,,,,,,,,,,,,,,,,,
35,2023-07-04,14,5000,,,,,,,,,,,,,,,,,,,,,,
36,2023-07-13,16,15000,,,,,,,,,,,,,,,,,,,,,,
37,2023-12-29,4,260000,,,,,,,,,,,,,,,,,,,,,,
38,2023-08-17,59,324000,,,,,,,,,,,,,,,,,,,,,,
39,2023-07-08,16,50000,,,,,,,,,,,,,,,,,,,,,,
40,2023-11-23,99,48000,,,,,,,,,,,,,,,,,,,,,,
41,2023-03-16,91,39000,,,,,,,,,,,,,,,,,,,,,,
42,2024-02-19,88,33000,,,,,,,,,,,,,,,,,,,,,,
43,2024-01-08,11,51000,,,,,,,,,,,,,,,,,,,,,,
44,2023-04-19,88,213000,,,,,,,,,,,,,,,,,,,,,,
45,2023-09-26,22,45000,,,,,,,,,,,,,,,,,,,,,,
46,2023-04-09,87,69000,,,,,,,,,,,,,,,,,,,,,,
47,2023-11-01,100,7000,,,,,,,,,,,,,,,,,,,,,,
48,2023-07-03,68,186000,,,,,,,,,,,,,,,,,,,,,,
49,2023-10-10,85,54000,,,,,,,,,,,,,,,,,,,,,,
50,2023-12-03,11,63000,,,,,,,,,,,,,,,,,,,,,,
51,2023-12-13,20,176000,,,,,,,,,,,,,,,,,,,,,,
52,2023-12-24,95,199000,,,,,,,,,,,,,,,,,,,,,,
53,2023-04-05,67,147000,,,,,,,,,,,,,,,,,,,,,,
54,2023-10-31,28,198000,,,,,,,,,,,,,,,,,,,,,,
55,2023-07-19,57,16000,,,,,,,,,,,,,,,,,,,,,,
56,2023-05-15,10,74000,,,,,,,,,,,,,,,,,,,,,,
57,2023-09-24,64,224000,,,,,,,,,,,,,,,,,,,,,,
58,2023-03-12,40,114000,,,,,,,,,,,,,,,,,,,,,,
59,2023-05-06,85,187000,,,,,,,,,,,,,,,,,,,,,,
60,2023-04-12,23,177000,,,,,,,,,,,,,,,,,,,,,,
61,2023-06-12,87,3000,,,,,,,,,,,,,,,,,,,,,,
62,2024-01-03,17,272000,,,,,,,,,,,,,,,,,,,,,,
63,2023-08-26,85,74000,,,,,,,,,,,,,,,,,,,,,,
64,2023-08-18,26,109000,,,,,,,,,,,,,,,,,,,,,,
65,2023-09-27,57,101000,,,,,,,,,,,,,,,,,,,,,,
66,2023-09-03,17,235000,,,,,,,,,,,,,,,,,,,,,,
67,2024-01-20,96,24000,,,,,,,,,,,,,,,,,,,,,,
68,2024-01-07,78,145000,,,,,,,,,,,,,,,,,,,,,,
69,2023-07-23,25,75000,,,,,,,,,,,,,,,,,,,,,,
70,2023-08-29,11,73000,,,,,,,,,,,,,,,,,,,,,,
71,2024-02-03,5,38000,,,,,,,,,,,,,,,,,,,,,,
72,2024-02-08,47,33000,,,,,,,,,,,,,,,,,,,,,,
73,2023-08-06,37,43000,,,,,,,,,,,,,,,,,,,,,,
74,2023-05-18,54,106000,,,,,,,,,,,,,,,,,,,,,,
75,2023-07-19,14,74000,,,,,,,,,,,,,,,,,,,,,,
76,2024-01-21,41,239000,,,,,,,,,,,,,,,,,,,,,,
77,2023-10-04,75,24000,,,,,,,,,,,,,,,,,,,,,,
78,2023-06-28,63,141000,,,,,,,,,,,,,,,,,,,,,,
79,2023-07-11,75,29000,,,,,,,,,,,,,,,,,,,,,,
80,2023-04-05,68,35000,,,,,,,,,,,,,,,,,,,,,,
81,2023-08-15,39,76000,,,,,,,,,,,,,,,,,,,,,,
82,2023-05-10,18,84000,,,,,,,,,,,,,,,,,,,,,,
83,2024-02-08,16,83000,,,,,,,,,,,,,,,,,,,,,,
84,2023-12-22,58,83000,,,,,,,,,,,,,,,,,,,,,,
85,2023-04-06,76,40000,,,,,,,,,,,,,,,,,,,,,,
86,2023-07-30,52,77000,,,,,,,,,,,,,,,,,,,,,,
87,2023-09-27,91,44000,,,,,,,,,,,,,,,,,,,,,,
88,2023-07-22,92,21000,,,,,,,,,,,,,,,,,,,,,,
89,2023-11-18,34,149000,,,,,,,,,,,,,,,,,,,,,,
90,2023-04-30,12,185000,,,,,,,,,,,,,,,,,,,,,,
91,2024-02-24,51,95000,,,,,,,,,,,,,,,,,,,,,,
92,2023-05-06,80,15000,,,,,,,,,,,,,,,,,,,,,,
93,2023-03-17,72,80000,,,,,,,,,,,,,,,,,,,,,,
94,2023-10-14,40,67000,,,,,,,,,,,,,,,,,,,,,,
95,2023-12-02,63,40000,,,,,,,,,,,,,,,,,,,,,,
96,2023-11-04,76,180000,,,,,,,,,,,,,,,,,,,,,,
97,2023-08-10,31,84000,,,,,,,,,,,,,,,,,,,,,,
98,2023-12-07,42,144000,,,,,,,,,,,,,,,,,,,,,,
99,2023-03-29,57,192000,,,,,,,,,,,,,,,,,,,,,,
100,2023-04-14,57,124000,,,,,,,,,,,,,,,,,,,,,,
101,2024-02-11,75,24000,,,,,,,,,,,,,,,,,,,,,,
102,2023-04-11,66,21000,,,,,,,,,,,,,,,,,,,,,,
103,2024-02-21,45,57000,,,,,,,,,,,,,,,,,,,,,,
104,2023-09-03,5,37000,,,,,,,,,,,,,,,,,,,,,,
105,2023-07-03,32,46000,,,,,,,,,,,,,,,,,,,,,,
106,2023-03-11,94,48000,,,,,,,,,,,,,,,,,,,,,,
107,2023-06-27,81,313000,,,,,,,,,,,,,,,,,,,,,,
108,2023-05-11,35,240000,,,,,,,,,,,,,,,,,,,,,,
109,2023-10-23,35,223000,,,,,,,,,,,,,,,,,,,,,,
110,2023-07-20,75,24000,,,,,,,,,,,,,,,,,,,,,,
111,2023-11-14,32,44000,,,,,,,,,,,,,,,,,,,,,,
112,2023-04-26,93,29000,,,,,,,,,,,,,,,,,,,,,,
113,2023-04-15,61,50000,,,,,,,,,,,,,,,,,,,,,,
114,2023-12-12,57,17000,,,,,,,,,,,,,,,,,,,,,,
115,2023-03-30,30,68000,,,,,,,,,,,,,,,,,,,,,,
116,2023-03-29,45,58000,,,,,,,,,,,,,,,,,,,,,,
117,2023-07-17,19,321000,,,,,,,,,,,,,,,,,,,,,,
118,2023-03-27,94,24000,,,,,,,,,,,,,,,,,,,,,,
119,2023-08-01,17,285000,,,,,,,,,,,,,,,,,,,,,,
120,2024-01-19,51,29000,,,,,,,,,,,,,,,,,,,,,,
121,2023-08-05,50,124000,,,,,,,,,,,,,,,,,,,,,,
122,2023-10-09,90,8000,,,,,,,,,,,,,,,,,,,,,,
123,2023-11-24,32,345000,,,,,,,,,,,,,,,,,,,,,,
124,2024-01-19,24,143000,,,,,,,,,,,,,,,,,,,,,,
125,2023-09-02,2,68000,,,,,,,,,,,,,,,,,,,,,,
126,2023-03-06,72,54000,,,,,,,,,,,,,,,,,,,,,,
127,2023-09-27,84,129000,,,,,,,,,,,,,,,,,,,,,,
128,2023-09-26,26,152000,,,,,,,,,,,,,,,,,,,,,,
129,2023-09-29,33,93000,,,,,,,,,,,,,,,,,,,,,,
130,2023-03-31,70,10000,,,,,,,,,,,,,,,,,,,,,,
131,2023-12-11,84,160000,,,,,,,,,,,,,,,,,,,,,,
132,2023-09-22,72,91000,,,,,,,,,,,,,,,,,,,,,,
133,2023-04-23,84,21000,,,,,,,,,,,,,,,,,,,,,,
134,2024-01-30,92,187000,,,,,,,,,,,,,,,,,,,,,,
135,2023-05-06,33,143000,,,,,,,,,,,,,,,,,,,,,,
136,2023-09-10,98,126000,,,,,,,,,,,,,,,,,,,,,,
137,2023-05-29,2,151000,,,,,,,,,,,,,,,,,,,,,,
138,2023-11-05,57,83000,,,,,,,,,,,,,,,,,,,,,,
139,2023-07-31,88,21000,,,,,,,,,,,,,,,,,,,,,,
140,2023-10-14,92,64000,,,,,,,,,,,,,,,,,,,,,,
141,2023-07-24,61,51000,,,,,,,,,,,,,,,,,,,,,,
142,2023-04-16,10,50000,,,,,,,,,,,,,,,,,,,,,,
143,2023-05-16,36,33000,,,,,,,,,,,,,,,,,,,,,,
144,2023-06-15,73,30000,,,,,,,,,,,,,,,,,,,,,,
145,2023-09-21,52,132000,,,,,,,,,,,,,,,,,,,,,,
146,2023-12-10,48,112000,,,,,,,,,,,,,,,,,,,,,,
147,2023-09-30,10,48000,,,,,,,,,,,,,,,,,,,,,,
148,2024-01-05,24,328000,,,,,,,,,,,,,,,,,,,,,,
149,2024-01-29,63,120000,,,,,,,,,,,,,,,,,,,,,,
150,2023-10-08,49,121000,,,,,,,,,,,,,,,,,,,,,,
151,2023-12-01,14,8000,,,,,,,,,,,,,,,,,,,,,,
152,2023-12-08,41,36000,,,,,,,,,,,,,,,,,,,,,,
153,2023-10-01,4,33000,,,,,,,,,,,,,,,,,,,,,,
154,2023-03-11,14,88000,,,,,,,,,,,,,,,,,,,,,,
155,2023-04-04,18,44000,,,,,,,,,,,,,,,,,,,,,,
156,2023-07-10,41,201000,,,,,,,,,,,,,,,,,,,,,,
157,2023-10-24,29,145000,,,,,,,,,,,,,,,,,,,,,,
158,2023-07-11,57,21000,,,,,,,,,,,,,,,,,,,,,,
159,2023-04-25,54,5000,,,,,,,,,,,,,,,,,,,,,,
160,2023-12-28,38,305000,,,,,,,,,,,,,,,,,,,,,,
161,2023-03-21,86,6000,,,,,,,,,,,,,,,,,,,,,,
162,2023-05-25,66,62000,,,,,,,,,,,,,,,,,,,,,,
163,2023-11-27,54,96000,,,,,,,,,,,,,,,,,,,,,,
164,2023-11-05,32,156000,,,,,,,,,,,,,,,,,,,,,,
165,2023-09-25,22,62000,,,,,,,,,,,,,,,,,,,,,,
166,2023-12-25,71,128000,,,,,,,,,,,,,,,,,,,,,,
167,2023-09-02,61,53000,,,,,,,,,,,,,,,,,,,,,,
168,2023-09-25,100,330000,,,,,,,,,,,,,,,,,,,,,,
169,2023-05-19,11,40000,,,,,,,,,,,,,,,,,,,,,,
170,2024-02-17,37,24000,,,,,,,,,,,,,,,,,,,,,,
171,2024-01-18,68,3000,,,,,,,,,,,,,,,,,,,,,,
172,2023-06-06,32,66000,,,,,,,,,,,,,,,,,,,,,,
173,2023-03-16,7,8000,,,,,,,,,,,,,,,,,,,,,,
174,2023-12-14,84,216000,,,,,,,,,,,,,,,,,,,,,,
175,2023-07-16,91,228000,,,,,,,,,,,,,,,,,,,,,,
176,2023-08-19,25,60000,,,,,,,,,,,,,,,,,,,,,,
177,2023-07-20,51,145000,,,,,,,,,,,,,,,,,,,,,,
178,2023-12-25,88,69000,,,,,,,,,,,,,,,,,,,,,,
179,2023-10-15,41,82000,,,,,,,,,,,,,,,,,,,,,,
180,2023-10-12,51,60000,,,,,,,,,,,,,,,,,,,,,,
181,2023-08-07,100,276000,,,,,,,,,,,,,,,,,,,,,,
182,2023-06-06,90,172000,,,,,,,,,,,,,,,,,,,,,,
183,2023-08-08,13,46000,,,,,,,,,,,,,,,,,,,,,,
184,2023-07-08,44,35000,,,,,,,,,,,,,,,,,,,,,,
185,2023-10-13,38,69000,,,,,,,,,,,,,,,,,,,,,,
186,2023-09-16,98,104000,,,,,,,,,,,,,,,,,,,,,,
187,2023-06-16,60,21000,,,,,,,,,,,,,,,,,,,,,,
188,2023-07-01,51,384000,,,,,,,,,,,,,,,,,,,,,,
189,2023-12-25,86,12000,,,,,,,,,,,,,,,,,,,,,,
190,2023-07-28,37,125000,,,,,,,,,,,,,,,,,,,,,,
191,2024-01-10,53,14000,,,,,,,,,,,,,,,,,,,,,,
192,2023-08-23,43,40000,,,,,,,,,,,,,,,,,,,,,,
193,2023-10-17,1,61000,,,,,,,,,,,,,,,,,,,,,,
194,2023-12-31,75,78000,,,,,,,,,,,,,,,,,,,,,,
195,2023-07-13,32,232000,,,,,,,,,,,,,,,,,,,,,,
196,2023-04-16,87,126000,,,,,,,,,,,,,,,,,,,,,,
197,2023-06-02,78,120000,,,,,,,,,,,,,,,,,,,,,,
198,2023-09-17,60,151000,,,,,,,,,,,,,,,,,,,,,,
199,2023-09-22,69,23000,,,,,,,,,,,,,,,,,,,,,,
200,2023-06-15,4,151000,,,,,,,,,,,,,,,,,,,,,,
